docId,date,count
ACC_45614,2020-05-30,2
ACC_45614,2020-05-31,3
ACC_45614,2020-06-01,2
ACC_45614,2020-06-04,3
ACC_45614,2020-06-05,5
ACC_45614,2020-06-06,1
ACC_45614,2020-06-07,2
ACC_45614,2020-06-08,5
ACC_45614,2020-06-10,1
ACC_45614,2020-06-11,5
ACC_45614,2020-06-12,4
ACC_45614,2020-06-14,8
ACC_45614,2020-06-15,4
ACC_45614,2020-06-16,6
ACC_45614,2020-06-17,8
ACC_45614,2020-06-18,2
ACC_45614,2020-06-20,4
ACC_45614,2020-06-21,4
ACC_45614,2020-06-22,1
ACC_45614,2020-06-23,2
ACC_45614,2020-06-24,3
ACC_45614,2020-06-25,6
ACC_45614,2020-06-27,3
ACC_45614,2020-06-28,5
ACC_45614,2020-06-29,5
ACC_45614,2020-06-30,3
ACC_45614,2020-07-01,1
ACC_45614,2020-07-02,5
ACC_45614,2020-07-03,2
ACC_45614,2020-07-04,3
ACC_45614,2020-07-05,3
ACC_45614,2020-07-07,10
ACC_45614,2020-07-08,7
ACC_45614,2020-07-09,5
ACC_45614,2020-07-10,4
ACC_45614,2020-07-11,1
ACC_45614,2020-07-12,2
ACC_45614,2020-07-13,9
ACC_45614,2020-07-14,2
ACC_45614,2020-07-15,6
ACC_45614,2020-07-16,3
ACC_45614,2020-07-17,3
ACC_45614,2020-07-18,1
ACC_45614,2020-07-19,4
ACC_45614,2020-07-20,1
ACC_45614,2020-07-21,4
ACC_45614,2020-07-22,6
ACC_45614,2020-07-23,1
ACC_45614,2020-07-24,6
ACC_45614,2020-07-25,2
ACC_45614,2020-07-26,7
ACC_45614,2020-07-28,7
ACC_45614,2020-07-29,2
ACC_45614,2020-07-30,2
ACC_45614,2020-07-31,3
ACC_45614,2020-08-01,1
ACC_45614,2020-08-02,1
ACC_45614,2020-08-03,3
ACC_45614,2020-08-04,1
ACC_45614,2020-08-05,3
ACC_45614,2020-08-06,2
ACC_45614,2020-08-07,8
